,weight_shap_0_mean,weight_shap_0_std,weight_grad_0_dir_mean,counts,p_value,fold_change,is_deg,is_extra,is_prior_driver,is_target,is_tf
GNGT1,0.0010969529029721539,0.00029152979961001596,0.0006499088116,98,9.432099522060368e-07,2.9528160488584008,True,False,False,False,False
KRT6B,0.002162850866676239,0.0007886643037727677,0.00044052887578500006,98,6.86756577132472e-10,4.042990797539639,True,False,False,True,False
CLCA2,0.002047963706667183,0.0007529551526242435,0.0003979178062399999,96,1.0098273283759582e-09,3.946231928700852,True,False,False,False,False
KRT1,0.0012467782474188365,0.00026439842926897784,0.0007732788461,95,1.4368483255194766e-07,11.1121262996867,True,False,False,True,False
TP63,0.0009979334414390731,0.0004888079916353791,0.00030115292268000006,93,1.763245757306271e-08,2.0991617011677204,True,False,True,True,True
KRT14,0.001497369192235366,0.000616628686781412,0.00029254576931000005,87,6.051932084326385e-07,3.053512759552908,True,False,False,True,False
IL1A,0.0010183612666162497,0.000315890452518866,0.0004179338451000002,86,2.070115589318595e-06,2.748154942367739,True,False,False,False,False
HNF1A,0.000507939110692339,0.00013263958016521482,-0.0005087566679000001,84,0.0067288143755985,0.1956523474222007,True,False,False,False,True
KRT5,0.001611009218317676,0.0008077640162910696,0.00022811610177600003,82,8.648498750974937e-09,2.8441465257998937,True,False,False,False,False
SOX2,0.000666338475283062,0.0003763780087528105,0.00021891968085999987,78,0.0056884252590584,1.529507076398206,True,False,True,True,True
NKX2-1,0.0008116301729610988,0.00042564441813794276,-0.00018037619034499998,77,8.033707655437306e-10,0.3594758939438399,True,False,True,True,True
HR,0.0010659024130354722,0.0004280725235567649,0.00029125964252999995,77,6.891043165363284e-10,2.9438231923534497,True,False,False,False,False
BNC1,0.0010696520331197486,0.00036824122037141843,0.0004167339366,76,3.5690013851023204e-09,6.1624982600365135,True,False,False,False,True
S1PR5,0.0008615605770440882,0.00028139985705824696,0.0003539891868600001,70,2.7116322393487547e-10,3.0757469286795174,True,False,False,False,False
DLX5,0.000619924526360788,0.00027946282409341077,0.0002707745356,69,1.5303569878952464e-06,2.8729798351432136,True,False,False,False,True
KRT16,0.0008468638019054254,0.0004837092484031417,0.000138655532774,69,3.1139889700783184e-09,2.338714429368393,True,False,False,False,False
SERPINB5,0.000721814403894704,0.0003905800490610246,0.00013435121118999998,65,1.008813833962271e-09,2.897127085561905,True,False,False,True,False
TRIM29,0.0007904643662586371,0.0005515155389120817,0.00012426534833,59,3.4303718449554055e-10,2.3217268845008,True,False,False,True,False
KRT6A,0.000719144684425379,0.00042711482623487704,5.8657950729999994e-05,56,9.984240256524031e-09,2.0137275541935624,True,False,False,True,False
SERPINB13,0.000703941671503613,0.00040222527547628467,0.00024931583683999997,56,7.063250362658053e-10,12.298832938956634,True,False,False,False,False
AR,0.00031735354585854796,0.00026053419644067957,-0.00015887476480000003,53,0.002626759607243,0.6902907409052468,True,False,False,False,True
IFNG,0.00038790958339803206,0.00010935289481719475,-0.00038818837110000004,52,0.0241026978501513,0.5365538786053307,True,False,False,False,False
SFTA3,0.000542370049793862,0.0002993773530035381,-0.00016868117084,52,1.836908578558539e-09,0.2697684028935488,True,False,False,False,False
SLC34A2,0.000549445949309518,0.0004453117462147037,-0.00011036163714,51,2.335139556425707e-08,0.5645887840747011,True,False,False,True,False
PAX6,0.0003510932706822321,0.0001320175581244614,0.0002842811866,50,5.719428444111568e-06,4.864270701116624,True,False,False,True,True
FOXA1,0.000244938068428381,0.00014734356024040374,5.096064279999997e-06,48,0.00141958265805,0.7587825747285102,True,False,False,True,True
FOXC1,0.00021582995955228603,0.00015150379657011989,0.0001150712295,47,0.0045375874840273,1.2945094661737633,True,False,False,False,True
FOXA2,0.00022992695204819804,0.00012320492928799052,-4.0486413469999997e-05,46,8.624481495962506e-05,0.5558544502505584,True,False,True,True,True
C16orf89,0.0005155733985717111,0.0003251018484713802,-0.000134980081743,46,8.047478395025843e-09,0.329821796834001,True,False,False,False,False
ESR1,0.00024308090662069303,0.00020372538170560544,-8.516988299999998e-05,46,0.0025235893254842,0.7152901667237337,True,False,False,False,True
CSTA,0.000499453945972726,0.0002652926035448995,0.00023114048064000004,45,1.0722117684738927e-08,2.4952312198359192,True,False,False,True,False
CAPN8,0.0005957677568932291,0.0004129344678499421,-0.00014023429490999997,45,1.1231667162426193e-07,0.4627798951694934,True,False,False,False,False
TFAP2A,0.000230413596130771,0.0001914029000026573,3.3665723900000006e-05,43,5.890195137966788e-05,1.2737540376566714,True,False,False,False,True
FGFR3,0.00029625452165363996,0.00022619450320612164,-3.206701339999999e-05,43,0.0004970240039701,1.4084020097168808,True,False,False,True,False
S100A8,0.0007124283032728173,0.00034641547172949264,0.00015606373613999996,41,7.082134207676587e-06,1.987853057835059,True,False,False,True,False
NAPSA,0.000512793726750395,0.0003739578974639144,-6.827832191999999e-05,39,2.335139556425707e-08,0.4963487980579199,True,False,False,True,False
CRCT1,0.00044889485217162296,0.00019387567787400875,0.00032549214749999993,38,1.0255205533254245e-07,26.93120962565445,True,False,False,False,False
FOXJ1,0.000269179205899065,0.00017678301491964765,-4.850711527999999e-05,35,2.401394852260501e-05,0.4665153849802383,True,False,False,False,True
FMO5,0.000303298470436621,0.00021523167920077505,-0.00011960443562999998,33,1.1231667162426193e-07,0.5133223014024398,True,False,False,False,False
KLF4,0.000137703492017421,0.00011071438174853985,-2.4129636050000005e-05,32,1.9492970234159195e-06,1.2917787645366183,True,False,False,False,True
CDX2,0.000165044050380549,4.7647682772783894e-05,-0.0002420816207,32,0.0496683225000468,1.5626732772630154,True,False,False,False,True
STK32A,0.000389301955642406,0.00038260267994123006,-0.0001311217926,32,4.995142350506248e-08,0.3988502125659358,True,False,False,False,False
HNF4G,0.00019204768060509302,0.0001490183929002941,-0.00010140411530000001,32,0.0060101143553423,0.6662691151112338,True,False,False,False,True
FOSL1,0.00017241947354133602,0.00017831641388107655,3.346511289999999e-05,30,0.0002853897982563,1.4183888550577708,True,False,False,True,True
LRRK2,0.000215549159075271,0.0002498103186021272,-8.02857557e-05,29,0.0003604874176205,0.6644097104636193,True,False,False,False,False
STAT4,0.00010724343189839199,0.00010274822710756672,-1.743555799999998e-06,25,0.0233979586257042,0.8168738475873766,True,False,False,False,True
CCR2,0.00018420038611221894,0.00017676049305336374,-0.0001363217559,24,0.0004970240039701,0.673116260382836,True,False,False,False,False
HNF1B,0.00021889171336671705,0.00011700849185698627,-0.00013724677530000003,22,1.4525343821948745e-07,0.2445954439441767,True,False,False,True,True
COL4A3,0.00019935563624546898,0.0002517241151435263,-6.277232719999999e-05,22,1.4400137734521295e-06,0.4902190313101146,True,False,False,True,False
HOXD9,0.00017656826734111,0.00012165427943152162,0.00010033578289999999,20,4.533875371497339e-05,2.1055955984035237,True,False,False,False,True
ARHGEF38,0.00017631757931500902,0.00021024279790624834,-8.092844988e-05,19,6.128237189403319e-08,0.4531031192058106,True,False,False,False,False
SPI1,7.4276347166351e-05,8.818441555224834e-05,-6.32524709e-05,19,2.977508512439828e-05,0.8329074337857636,True,False,False,False,True
KLF15,0.00012667557943071898,0.00013441424585020076,8.198271320000001e-05,19,0.0163692722581529,0.6559671483882514,True,False,False,False,True
STK33,0.00011770622463459401,0.00010165572885088598,1.24664209e-05,18,2.6751756696824624e-05,0.5482274936885972,True,False,False,False,False
IRF6,0.000110600682080269,0.00015103340845838838,3.718308486e-05,18,5.90749187239326e-10,1.3742499880705137,True,False,False,False,True
NFE2,8.5991792067453e-05,0.00010526402257956658,-1.8550069e-05,18,0.0013610112535406,0.6392618671031604,True,False,False,False,True
ST3GAL5,0.000148755289609504,0.00020399202893393588,-5.3863911799999994e-05,16,1.050683353908209e-07,0.7085021832053899,True,False,False,False,False
HMGA2,0.00020914007598052896,0.0003244706366963789,7.505201579999999e-05,16,0.0007771511194047,1.6170487147494472,True,False,False,True,True
GNA14,0.00011520225713966499,0.0001295263679407218,-4.857649250000001e-05,16,1.426123661368692e-08,0.4683373537361586,True,False,False,False,False
E2F7,0.00010827710209397,0.00011426043013086327,7.04224374e-05,15,5.01560589407044e-06,1.5016808150452483,True,False,False,False,True
P2RY13,0.00011170610816536499,0.00011904815385215713,-6.92390013e-05,15,0.0013046761585034,0.7089044649658174,True,False,False,False,False
