,weight_shap_total_mean,weight_shap_total_std,weight_grad_total_dir_mean,counts,p_value,fold_change,is_deg,is_extra,is_prior_driver,is_target,is_tf
KRT1,0.0015763579334291764,0.0003485372625295008,0.0007520283289999998,99,1.4368483255194766e-07,11.1121262996867,True,False,False,True,False
KRT6B,0.002566728911754758,0.0009205468563635332,0.00046288075295999995,98,6.86756577132472e-10,4.042990797539639,True,False,False,True,False
CLCA2,0.002351313485731038,0.0008692178720608762,0.00041420019160000006,97,1.0098273283759582e-09,3.946231928700852,True,False,False,False,False
GNGT1,0.0010655035526856286,0.00027980748406414513,0.0006190845137,95,9.432099522060368e-07,2.9528160488584008,True,False,False,False,False
TP63,0.0011733344637650381,0.0005879610230753475,0.00029033352544000004,94,1.763245757306271e-08,2.0991617011677204,True,False,True,True,True
KRT14,0.0018871719173018115,0.0007368839515238132,0.00032511550515000007,89,6.051932084326385e-07,3.053512759552908,True,False,False,True,False
SOX2,0.0008005148992903888,0.0004127295747437923,0.00023832324397999997,89,0.0056884252590584,1.529507076398206,True,False,True,True,True
IL1A,0.0012231139949878435,0.00037297380201738975,0.00043659826060000003,88,2.070115589318595e-06,2.748154942367739,True,False,False,False,False
KRT5,0.0018683906191305222,0.0009178270952957336,0.0002577534158799999,85,8.648498750974937e-09,2.8441465257998937,True,False,False,False,False
BNC1,0.0012833666220550693,0.00044415275856903426,0.00042573233579999996,83,3.5690013851023204e-09,6.1624982600365135,True,False,False,False,True
HR,0.0012170547823332546,0.00048659717220600116,0.0003011946294,80,6.891043165363284e-10,2.9438231923534497,True,False,False,False,False
HNF1A,0.00041166834594038296,9.773080216432988e-05,-0.00047124306400000006,78,0.0067288143755985,0.1956523474222007,True,False,False,False,True
DLX5,0.0007755206271269137,0.00034472006702613244,0.00030408592615000006,77,1.5303569878952464e-06,2.8729798351432136,True,False,False,False,True
NKX2-1,0.0008728350113071955,0.00045954155693412734,-0.00017090484955999995,76,8.033707655437306e-10,0.3594758939438399,True,False,True,True,True
S1PR5,0.0009728736403003044,0.00030955318336169595,0.0003741127785000001,75,2.7116322393487547e-10,3.0757469286795174,True,False,False,False,False
KRT16,0.001020581951665773,0.0005737842038052163,0.00017299012217000004,73,3.1139889700783184e-09,2.338714429368393,True,False,False,False,False
PAX6,0.000530587280275608,0.0001730730224475351,0.000390831231,70,5.719428444111568e-06,4.864270701116624,True,False,False,True,True
SERPINB5,0.0008127348671881356,0.00044518265234625424,0.00015757720220000002,67,1.008813833962271e-09,2.897127085561905,True,False,False,True,False
CRCT1,0.000822654868160758,0.00026878117613869727,0.0004218729672000002,63,1.0255205533254245e-07,26.93120962565445,True,False,False,False,False
SERPINB13,0.0008351872652426187,0.00045910659128672784,0.00022737874519999988,59,7.063250362658053e-10,12.298832938956634,True,False,False,False,False
TRIM29,0.000804356734834526,0.0005574977386939012,0.00014047337120000005,57,3.4303718449554055e-10,2.3217268845008,True,False,False,True,False
SFTA3,0.000601896058909712,0.00031561668151726803,-0.0001704461971,56,1.836908578558539e-09,0.2697684028935488,True,False,False,False,False
CSTA,0.0007013735679198224,0.00033631679521227236,0.00023969799319999998,55,1.0722117684738927e-08,2.4952312198359192,True,False,False,True,False
SLC34A2,0.0005914743394705248,0.00046072131100785465,-9.330643108000002e-05,54,2.335139556425707e-08,0.5645887840747011,True,False,False,True,False
KRT6A,0.0007719258776312892,0.00048396001130226405,8.291150826e-05,54,9.984240256524031e-09,2.0137275541935624,True,False,False,True,False
S100A8,0.0008822711839315759,0.0004088755858507221,0.00018182619400000007,48,7.082134207676587e-06,1.987853057835059,True,False,False,True,False
FOXC1,0.00022925845405040506,0.0001622342484063647,0.00010584843589999998,47,0.0045375874840273,1.2945094661737633,True,False,False,False,True
AR,0.000269327937084225,0.00023490097226124614,-0.00013896619204000006,47,0.002626759607243,0.6902907409052468,True,False,False,False,True
CAPN8,0.0005951711375624879,0.0004026065358408215,-0.0001322249224,45,1.1231667162426193e-07,0.4627798951694934,True,False,False,False,False
C16orf89,0.00049652372290211,0.00032106303196602587,-0.00011949335849999999,43,8.047478395025843e-09,0.329821796834001,True,False,False,False,False
FOXA1,0.00020916860478714894,0.00013366810617028118,1.5578291039999994e-05,43,0.00141958265805,0.7587825747285102,True,False,False,True,True
FOXA2,0.00023025584538434506,0.00013163206121823498,-4.15027572e-05,42,8.624481495962506e-05,0.5558544502505584,True,False,True,True,True
ESR1,0.00019381918846257201,0.00018271419438520213,-6.59608785e-05,40,0.0025235893254842,0.7152901667237337,True,False,False,False,True
NAPSA,0.0005186388031786931,0.00039510802809549384,-5.326407360000001e-05,40,2.335139556425707e-08,0.4963487980579199,True,False,False,True,False
TFAP2A,0.00018276811551027494,0.00015354204227703954,3.8124205499999995e-05,38,5.890195137966788e-05,1.2737540376566714,True,False,False,False,True
FOXJ1,0.000282128883911361,0.00016276085232914912,-3.1434421099999994e-05,37,2.401394852260501e-05,0.4665153849802383,True,False,False,False,True
STK32A,0.0003952866412875011,0.00038684458317920194,-0.00012123404209999998,34,4.995142350506248e-08,0.3988502125659358,True,False,False,False,False
IFNG,0.00023744125035354697,7.430365575139196e-05,-0.0002596262132,34,0.0241026978501513,0.5365538786053307,True,False,False,False,False
FMO5,0.00028635385101738903,0.00021672866489820262,-0.00010527560679999999,32,1.1231667162426193e-07,0.5133223014024398,True,False,False,False,False
FGFR3,0.00020473954220145792,0.00019535186034819768,-2.4161452399999997e-05,30,0.0004970240039701,1.4084020097168808,True,False,False,True,False
FOSL1,0.00017703622595205103,0.00018033014360782147,3.9894126800000006e-05,30,0.0002853897982563,1.4183888550577708,True,False,False,True,True
LRRK2,0.000182878711913531,0.00022119383112890532,-7.146774050000001e-05,25,0.0003604874176205,0.6644097104636193,True,False,False,False,False
KLF4,0.00010457473280132597,0.00010952096203693267,-2.178468099999998e-06,24,1.9492970234159195e-06,1.2917787645366183,True,False,False,False,True
HNF4G,0.000142875611821152,0.00012464950528108418,-8.35464391e-05,24,0.0060101143553423,0.6662691151112338,True,False,False,False,True
IRF6,0.00015580954408979196,0.00016125718242918568,3.90130806e-05,24,5.90749187239326e-10,1.3742499880705137,True,False,False,False,True
SPI1,9.659318431756398e-05,0.00010631903292590481,-7.10619101e-05,23,2.977508512439828e-05,0.8329074337857636,True,False,False,False,True
CCR2,0.000160719880902828,0.00016408581889381448,-0.00010962161420000001,21,0.0004970240039701,0.673116260382836,True,False,False,False,False
HNF1B,0.000210917100500955,0.00013049795816042707,-0.00010863071449999999,21,1.4525343821948745e-07,0.2445954439441767,True,False,False,True,True
ITGA6,0.00015695285847367398,0.00015250463175688878,2.02882027e-05,20,3.609462953121905e-09,1.4528659669267936,True,False,False,True,False
HOXD9,0.000167055445622182,0.00010892572397832533,9.028261420000001e-05,19,4.533875371497339e-05,2.1055955984035237,True,False,False,False,True
DENND2C,0.000210409772773388,0.0001863026443706258,0.00011397754499999999,19,3.429160633364429e-10,2.077782226143836,True,False,False,False,False
NFE2,8.5357079931599e-05,9.52644419946121e-05,-2.6393097599999998e-05,18,0.0013610112535406,0.6392618671031604,True,False,False,False,True
COL4A3,0.000147903751393228,0.0002045129205959344,-4.390335559999999e-05,17,1.4400137734521295e-06,0.4902190313101146,True,False,False,True,False
ARHGEF38,0.000159969611128854,0.00018720608618699296,-6.27229687e-05,17,6.128237189403319e-08,0.4531031192058106,True,False,False,False,False
GNA14,0.00011716082548654401,0.0001324605022168736,-4.24325623e-05,16,1.426123661368692e-08,0.4683373537361586,True,False,False,False,False
FXYD3,0.000165604144402803,0.0001056970952789437,6.48817123e-05,16,3.7967313912406946e-08,1.4375485548215097,True,False,False,True,False
JAG1,0.00013867887544929402,0.0002309994945657626,6.82934943e-05,16,2.684980851854065e-09,1.3808207770653615,True,False,False,True,False
BATF,7.0753184959547e-05,7.268493191022054e-05,-5.3394489e-05,15,7.608993291334454e-05,0.7421377915828952,True,False,False,False,True
CDX2,7.373232293434e-05,2.9017853120037024e-05,-0.0001076248234,15,0.0496683225000468,1.5626732772630154,True,False,False,False,True
KLF15,9.673573556165e-05,0.00012650333876690817,6.302816339999999e-05,15,0.0163692722581529,0.6559671483882514,True,False,False,False,True
SFN,0.000124669810033176,9.405134296826747e-05,4.153269680000001e-05,14,2.6849628775262773e-08,1.3074986768678225,True,False,False,True,False
E2F7,0.00010028179176921598,0.00012132852721470279,5.85163385e-05,14,5.01560589407044e-06,1.5016808150452483,True,False,False,False,True
BTK,6.758613542975801e-05,6.82246500556891e-05,-3.44415177e-05,13,0.0016095248497862,0.8038147160419249,True,False,False,False,False
HMGA2,0.000169967971356744,0.0002856157351495257,5.4563883600000004e-05,13,0.0007771511194047,1.6170487147494472,True,False,False,True,True
CIITA,9.043425546743e-05,0.00016107255301057094,-3.82718338e-05,13,4.138344108455461e-07,0.7741078563202204,True,False,False,False,False
SNAI2,8.364544547118e-05,0.00021144151706852448,1.6463863999999988e-06,12,5.334821376791423e-07,1.47150777861028,True,False,False,True,True
BCL11B,8.5339903037164e-05,0.00010496777318845246,4.7280733900000004e-05,12,7.608993291334454e-05,1.4012953794472771,True,False,False,False,True
STAT4,5.058333560094001e-05,7.723783364778311e-05,9.5250998e-06,12,0.0233979586257042,0.8168738475873766,True,False,False,False,True
PERP,0.00010164932654714798,0.00014705990957449087,2.1372328500000003e-05,12,2.140698889581249e-10,1.3489978007401735,True,False,False,True,False
ST3GAL5,0.00010254579132355099,0.00016379927656298078,-4.1236092799999994e-05,11,1.050683353908209e-07,0.7085021832053899,True,False,False,False,False
